Date,Time,PM2.5
04/01/2016 24:00 AM,,480
05/01/16,1:00 AM,566
05/01/16,2:00 AM,435
05/01/16,3:00 AM,415
05/01/16,4:00 AM,416
05/01/16,5:00 AM,408
05/01/16,6:00 AM,390
05/01/16,7:00 AM,388
05/01/16,8:00 AM,424
05/01/16,9:00 AM,437
05/01/16,10:00 AM,457
05/01/16,11:00 AM,435
05/01/16,12:00 PM,322
05/01/16,1:00 PM,221
05/01/16,2:00 PM,143
05/01/16,3:00 PM,199
05/01/16,4:00 PM,209
05/01/16,5:00 PM,258
05/01/16,6:00 PM,278
05/01/16,7:00 PM,299
05/01/16,8:00 PM,333
05/01/16,9:00 PM,373
05/01/16,10:00 PM,361
05/01/16,11:00 PM,343
05/01/2016 24:00 AM,,367
06/01/16,1:00 AM,407
06/01/16,2:00 AM,430
06/01/16,3:00 AM,491
06/01/16,4:00 AM,509
06/01/16,5:00 AM,529
06/01/16,6:00 AM,534
06/01/16,7:00 AM,520
06/01/16,8:00 AM,507
06/01/16,9:00 AM,511
06/01/16,10:00 AM,593
06/01/16,11:00 AM,363
06/01/16,12:00 PM,279
06/01/16,1:00 PM,228
06/01/16,2:00 PM,194
06/01/16,3:00 PM,188
06/01/16,4:00 PM,166
06/01/16,5:00 PM,196
06/01/16,6:00 PM,211
06/01/16,7:00 PM,259
06/01/16,8:00 PM,286
06/01/16,9:00 PM,327
06/01/16,10:00 PM,360
06/01/16,11:00 PM,363
06/01/2016 24:00 AM,,366
07/01/16,1:00 AM,364
07/01/16,2:00 AM,369
07/01/16,3:00 AM,---
07/01/16,4:00 AM,366
07/01/16,5:00 AM,406
07/01/16,6:00 AM,431
07/01/16,7:00 AM,475
07/01/16,8:00 AM,524
07/01/16,9:00 AM,552
07/01/16,10:00 AM,608
07/01/16,11:00 AM,584
07/01/16,12:00 PM,437
07/01/16,1:00 PM,349
07/01/16,2:00 PM,374
07/01/16,3:00 PM,448
07/01/16,4:00 PM,558
07/01/16,5:00 PM,409
07/01/16,6:00 PM,432
07/01/16,7:00 PM,434
07/01/16,8:00 PM,450
07/01/16,9:00 PM,501
07/01/16,10:00 PM,566
07/01/16,11:00 PM,577
07/01/2016 24:00 AM,,566
08/01/16,1:00 AM,589
08/01/16,2:00 AM,613
08/01/16,3:00 AM,594
08/01/16,4:00 AM,570
08/01/16,5:00 AM,568
08/01/16,6:00 AM,526
08/01/16,7:00 AM,461
08/01/16,8:00 AM,355
08/01/16,9:00 AM,380
08/01/16,10:00 AM,342
08/01/16,11:00 AM,340
08/01/16,12:00 PM,410
08/01/16,1:00 PM,505
08/01/16,2:00 PM,332
08/01/16,3:00 PM,362
08/01/16,4:00 PM,197
08/01/16,5:00 PM,232
08/01/16,6:00 PM,215
08/01/16,7:00 PM,203
08/01/16,8:00 PM,234
08/01/16,9:00 PM,385
08/01/16,10:00 PM,367
08/01/16,11:00 PM,327
08/01/2016 24:00 AM,,310
09/01/16,1:00 AM,306
09/01/16,2:00 AM,277
09/01/16,3:00 AM,271
09/01/16,4:00 AM,262
09/01/16,5:00 AM,214
09/01/16,6:00 AM,230
09/01/16,7:00 AM,313
09/01/16,8:00 AM,369
09/01/16,9:00 AM,353
09/01/16,10:00 AM,309
09/01/16,11:00 AM,212
09/01/16,12:00 PM,152
09/01/16,1:00 PM,120
09/01/16,2:00 PM,92
09/01/16,3:00 PM,62
09/01/16,4:00 PM,58
09/01/16,5:00 PM,58
09/01/16,6:00 PM,80
09/01/16,7:00 PM,107
09/01/16,8:00 PM,129
09/01/16,9:00 PM,170
09/01/16,10:00 PM,222
09/01/16,11:00 PM,241
09/01/2016 24:00 AM,,218
10/01/16,1:00 AM,317
10/01/16,2:00 AM,431
10/01/16,3:00 AM,306
10/01/16,4:00 AM,244
10/01/16,5:00 AM,149
10/01/16,6:00 AM,136
10/01/16,7:00 AM,145
10/01/16,8:00 AM,171
10/01/16,9:00 AM,170
10/01/16,10:00 AM,125
10/01/16,11:00 AM,99
10/01/16,12:00 PM,82
10/01/16,1:00 PM,75
10/01/16,2:00 PM,64
10/01/16,3:00 PM,65
10/01/16,4:00 PM,65
10/01/16,5:00 PM,93
10/01/16,6:00 PM,99
10/01/16,7:00 PM,129
10/01/16,8:00 PM,184
10/01/16,9:00 PM,269
10/01/16,10:00 PM,262
10/01/16,11:00 PM,232
10/01/2016 24:00 AM,,238
11/01/16,1:00 AM,220
11/01/16,2:00 AM,233
11/01/16,3:00 AM,270
11/01/16,4:00 AM,290
11/01/16,5:00 AM,279
11/01/16,6:00 AM,258
11/01/16,7:00 AM,273
11/01/16,8:00 AM,334
11/01/16,9:00 AM,500
11/01/16,10:00 AM,313
11/01/16,11:00 AM,230
11/01/16,12:00 PM,150
11/01/16,1:00 PM,104
11/01/16,2:00 PM,73
11/01/16,3:00 PM,78
11/01/16,4:00 PM,69
11/01/16,5:00 PM,67
11/01/16,6:00 PM,72
11/01/16,7:00 PM,104
11/01/16,8:00 PM,133
11/01/16,9:00 PM,238
11/01/16,10:00 PM,231
11/01/16,11:00 PM,242
11/01/2016 24:00 AM,,232
12/01/16,1:00 AM,222
12/01/16,2:00 AM,240
12/01/16,3:00 AM,248
12/01/16,4:00 AM,271
12/01/16,5:00 AM,310
12/01/16,6:00 AM,332
12/01/16,7:00 AM,318
12/01/16,8:00 AM,319
12/01/16,9:00 AM,316
12/01/16,10:00 AM,281
12/01/16,11:00 AM,177
12/01/16,12:00 PM,117
12/01/16,1:00 PM,102
12/01/16,2:00 PM,91
12/01/16,3:00 PM,86
12/01/16,4:00 PM,74
12/01/16,5:00 PM,86
12/01/16,6:00 PM,73
12/01/16,7:00 PM,87
12/01/16,8:00 PM,112
12/01/16,9:00 PM,174
12/01/16,10:00 PM,176
12/01/16,11:00 PM,192
12/01/2016 24:00 AM,,209
13/01/16,1:00 AM,227
13/01/16,2:00 AM,233
13/01/16,3:00 AM,235
13/01/16,4:00 AM,249
13/01/16,5:00 AM,284
13/01/16,6:00 AM,290
13/01/16,7:00 AM,300
13/01/16,8:00 AM,295
13/01/16,9:00 AM,294
13/01/16,10:00 AM,263
13/01/16,11:00 AM,253
13/01/16,12:00 PM,251
13/01/16,1:00 PM,223
13/01/16,2:00 PM,231
13/01/16,3:00 PM,235
13/01/16,4:00 PM,353
13/01/16,5:00 PM,414
13/01/16,6:00 PM,421
13/01/16,7:00 PM,481
13/01/16,8:00 PM,471
13/01/16,9:00 PM,459
13/01/16,10:00 PM,477
13/01/16,11:00 PM,408
13/01/2016 24:00 AM,,288
14/01/16,1:00 AM,247
14/01/16,2:00 AM,216
14/01/16,3:00 AM,227
14/01/16,4:00 AM,221
14/01/16,5:00 AM,217
14/01/16,6:00 AM,241
14/01/16,7:00 AM,231
14/01/16,8:00 AM,201
14/01/16,9:00 AM,211
14/01/16,10:00 AM,222
14/01/16,11:00 AM,230
14/01/16,12:00 PM,245
14/01/16,1:00 PM,245
14/01/16,2:00 PM,291
14/01/16,3:00 PM,285
14/01/16,4:00 PM,271
14/01/16,5:00 PM,259
14/01/16,6:00 PM,236
14/01/16,7:00 PM,254
14/01/16,8:00 PM,264
14/01/16,9:00 PM,276
14/01/16,10:00 PM,275
14/01/16,11:00 PM,269
14/01/2016 24:00 AM,,274
15/01/16,1:00 AM,289
15/01/16,2:00 AM,274
15/01/16,3:00 AM,271
15/01/16,4:00 AM,277
15/01/16,5:00 AM,245
15/01/16,6:00 AM,199
15/01/16,7:00 AM,151
15/01/16,8:00 AM,134
15/01/16,9:00 AM,150
15/01/16,10:00 AM,180
15/01/16,11:00 AM,166
15/01/16,12:00 PM,154
15/01/16,1:00 PM,160
15/01/16,2:00 PM,154
15/01/16,3:00 PM,132
15/01/16,4:00 PM,128
15/01/16,5:00 PM,132
15/01/16,6:00 PM,138
15/01/16,7:00 PM,137
15/01/16,8:00 PM,153
15/01/16,9:00 PM,124
15/01/16,10:00 PM,144
15/01/16,11:00 PM,135
15/01/2016 24:00 AM,,150
16/01/16,1:00 AM,153
16/01/16,2:00 AM,157
16/01/16,3:00 AM,160
16/01/16,4:00 AM,189
16/01/16,5:00 AM,154
16/01/16,6:00 AM,174
16/01/16,7:00 AM,138
16/01/16,8:00 AM,121
16/01/16,9:00 AM,137
16/01/16,10:00 AM,141
16/01/16,11:00 AM,154
16/01/16,12:00 PM,141
16/01/16,1:00 PM,146
16/01/16,2:00 PM,132
16/01/16,3:00 PM,126
16/01/16,4:00 PM,126
16/01/16,5:00 PM,127
16/01/16,6:00 PM,144
16/01/16,7:00 PM,159
16/01/16,8:00 PM,157
16/01/16,9:00 PM,161
16/01/16,10:00 PM,163
16/01/16,11:00 PM,175
16/01/2016 24:00 AM,,145
17/01/16,1:00 AM,141
17/01/16,2:00 AM,135
17/01/16,3:00 AM,144
17/01/16,4:00 AM,153
17/01/16,5:00 AM,156
17/01/16,6:00 AM,173
17/01/16,7:00 AM,156
17/01/16,8:00 AM,147
17/01/16,9:00 AM,162
17/01/16,10:00 AM,169
17/01/16,11:00 AM,160
17/01/16,12:00 PM,184
17/01/16,1:00 PM,161
17/01/16,2:00 PM,175
17/01/16,3:00 PM,177
17/01/16,4:00 PM,176
17/01/16,5:00 PM,198
17/01/16,6:00 PM,225
17/01/16,7:00 PM,232
17/01/16,8:00 PM,239
17/01/16,9:00 PM,267
17/01/16,10:00 PM,303
17/01/16,11:00 PM,295
17/01/2016 24:00 AM,,279
18/01/16,1:00 AM,268
18/01/16,2:00 AM,261
18/01/16,3:00 AM,285
18/01/16,4:00 AM,292
18/01/16,5:00 AM,269
18/01/16,6:00 AM,270
18/01/16,7:00 AM,274
18/01/16,8:00 AM,267
18/01/16,9:00 AM,263
18/01/16,10:00 AM,272
18/01/16,11:00 AM,266
18/01/16,12:00 PM,243
18/01/16,1:00 PM,304
18/01/16,2:00 PM,327
18/01/16,3:00 PM,284
18/01/16,4:00 PM,215
18/01/16,5:00 PM,171
18/01/16,6:00 PM,239
18/01/16,7:00 PM,257
18/01/16,8:00 PM,283
18/01/16,9:00 PM,310
18/01/16,10:00 PM,316
18/01/16,11:00 PM,303
18/01/2016 24:00 AM,,289
19/01/16,1:00 AM,290
19/01/16,2:00 AM,231
19/01/16,3:00 AM,206
19/01/16,4:00 AM,192
19/01/16,5:00 AM,192
19/01/16,6:00 AM,197
19/01/16,7:00 AM,205
19/01/16,8:00 AM,225
19/01/16,9:00 AM,263
19/01/16,10:00 AM,308
19/01/16,11:00 AM,338
19/01/16,12:00 PM,349
19/01/16,1:00 PM,403
19/01/16,2:00 PM,400
19/01/16,3:00 PM,328
19/01/16,4:00 PM,340
19/01/16,5:00 PM,366
19/01/16,6:00 PM,356
19/01/16,7:00 PM,358
19/01/16,8:00 PM,382
19/01/16,9:00 PM,352
19/01/16,10:00 PM,453
19/01/16,11:00 PM,382
19/01/2016 24:00 AM,,333
20/01/16,1:00 AM,214
20/01/16,2:00 AM,224
20/01/16,3:00 AM,262
20/01/16,4:00 AM,285
20/01/16,5:00 AM,277
20/01/16,6:00 AM,276
20/01/16,7:00 AM,270
20/01/16,8:00 AM,321
20/01/16,9:00 AM,305
20/01/16,10:00 AM,298
20/01/16,11:00 AM,317
20/01/16,12:00 PM,320
20/01/16,1:00 PM,307
20/01/16,2:00 PM,295
20/01/16,3:00 PM,271
20/01/16,4:00 PM,286
20/01/16,5:00 PM,288
20/01/16,6:00 PM,294
20/01/16,7:00 PM,297
20/01/16,8:00 PM,324
20/01/16,9:00 PM,262
20/01/16,10:00 PM,259
20/01/16,11:00 PM,266
20/01/2016 24:00 AM,,314
21/01/16,1:00 AM,256
21/01/16,2:00 AM,195
21/01/16,3:00 AM,184
21/01/16,4:00 AM,179
21/01/16,5:00 AM,175
21/01/16,6:00 AM,178
21/01/16,7:00 AM,176
21/01/16,8:00 AM,170
21/01/16,9:00 AM,180
21/01/16,10:00 AM,217
21/01/16,11:00 AM,235
21/01/16,12:00 PM,230
21/01/16,1:00 PM,219
21/01/16,2:00 PM,204
21/01/16,3:00 PM,210
21/01/16,4:00 PM,188
21/01/16,5:00 PM,183
21/01/16,6:00 PM,164
21/01/16,7:00 PM,173
21/01/16,8:00 PM,194
21/01/16,9:00 PM,246
21/01/16,10:00 PM,254
21/01/16,11:00 PM,253
21/01/2016 24:00 AM,,257
22/01/16,1:00 AM,261
22/01/16,2:00 AM,282
22/01/16,3:00 AM,278
22/01/16,4:00 AM,262
22/01/16,5:00 AM,227
22/01/16,6:00 AM,231
22/01/16,7:00 AM,252
22/01/16,8:00 AM,265
22/01/16,9:00 AM,323
22/01/16,10:00 AM,313
22/01/16,11:00 AM,440
22/01/16,12:00 PM,450
22/01/16,1:00 PM,449
22/01/16,2:00 PM,455
22/01/16,3:00 PM,424
22/01/16,4:00 PM,382
22/01/16,5:00 PM,349
22/01/16,6:00 PM,331
22/01/16,7:00 PM,351
22/01/16,8:00 PM,363
22/01/16,9:00 PM,351
22/01/16,10:00 PM,331
22/01/16,11:00 PM,328
22/01/2016 24:00 AM,,364
23/01/16,1:00 AM,381
23/01/16,2:00 AM,350
23/01/16,3:00 AM,322
23/01/16,4:00 AM,302
23/01/16,5:00 AM,281
23/01/16,6:00 AM,283
23/01/16,7:00 AM,288
23/01/16,8:00 AM,297
23/01/16,9:00 AM,276
23/01/16,10:00 AM,251
23/01/16,11:00 AM,220
23/01/16,12:00 PM,192
23/01/16,1:00 PM,163
23/01/16,2:00 PM,136
23/01/16,3:00 PM,278
23/01/16,4:00 PM,288
23/01/16,5:00 PM,209
23/01/16,6:00 PM,194
23/01/16,7:00 PM,212
23/01/16,8:00 PM,245
23/01/16,9:00 PM,313
23/01/16,10:00 PM,398
23/01/16,11:00 PM,417
23/01/2016 24:00 AM,,430
24/01/16,1:00 AM,433
24/01/16,2:00 AM,416
24/01/16,3:00 AM,402
24/01/16,4:00 AM,380
24/01/16,5:00 AM,373
24/01/16,6:00 AM,268
24/01/16,7:00 AM,261
24/01/16,8:00 AM,251
24/01/16,9:00 AM,249
24/01/16,10:00 AM,251
24/01/16,11:00 AM,317
24/01/16,12:00 PM,351
24/01/16,1:00 PM,459
24/01/16,2:00 PM,463
24/01/16,3:00 PM,381
24/01/16,4:00 PM,347
24/01/16,5:00 PM,354
24/01/16,6:00 PM,365
24/01/16,7:00 PM,345
24/01/16,8:00 PM,357
24/01/16,9:00 PM,328
24/01/16,10:00 PM,311
24/01/16,11:00 PM,282
24/01/2016 24:00 AM,,257
25/01/16,1:00 AM,201
25/01/16,2:00 AM,202
25/01/16,3:00 AM,333
25/01/16,4:00 AM,206
25/01/16,5:00 AM,210
25/01/16,6:00 AM,219
25/01/16,7:00 AM,209
25/01/16,8:00 AM,228
25/01/16,9:00 AM,247
25/01/16,10:00 AM,266
25/01/16,11:00 AM,282
25/01/16,12:00 PM,298
25/01/16,1:00 PM,307
25/01/16,2:00 PM,275
25/01/16,3:00 PM,239
25/01/16,4:00 PM,222
25/01/16,5:00 PM,187
25/01/16,6:00 PM,173
25/01/16,7:00 PM,200
25/01/16,8:00 PM,243
25/01/16,9:00 PM,324
25/01/16,10:00 PM,306
25/01/16,11:00 PM,254
25/01/2016 24:00 AM,,296
26/01/16,1:00 AM,288
26/01/16,2:00 AM,338
26/01/16,3:00 AM,334
26/01/16,4:00 AM,326
26/01/16,5:00 AM,324
26/01/16,6:00 AM,332
26/01/16,7:00 AM,326
26/01/16,8:00 AM,321
26/01/16,9:00 AM,378
26/01/16,10:00 AM,524
26/01/16,11:00 AM,567
26/01/16,12:00 PM,505
26/01/16,1:00 PM,461
26/01/16,2:00 PM,471
26/01/16,3:00 PM,391
26/01/16,4:00 PM,285
26/01/16,5:00 PM,230
26/01/16,6:00 PM,240
26/01/16,7:00 PM,249
26/01/16,8:00 PM,250
26/01/16,9:00 PM,273
26/01/16,10:00 PM,306
26/01/16,11:00 PM,323
26/01/2016 24:00 AM,,357
27/01/16,1:00 AM,386
27/01/16,2:00 AM,396
27/01/16,3:00 AM,372
27/01/16,4:00 AM,373
27/01/16,5:00 AM,368
27/01/16,6:00 AM,372
27/01/16,7:00 AM,364
27/01/16,8:00 AM,354
27/01/16,9:00 AM,312
27/01/16,10:00 AM,218
27/01/16,11:00 AM,184
27/01/16,12:00 PM,121
27/01/16,1:00 PM,118
27/01/16,2:00 PM,131
27/01/16,3:00 PM,111
27/01/16,4:00 PM,103
27/01/16,5:00 PM,132
27/01/16,6:00 PM,235
27/01/16,7:00 PM,250
27/01/16,8:00 PM,274
27/01/16,9:00 PM,358
27/01/16,10:00 PM,383
27/01/16,11:00 PM,352
27/01/2016 24:00 AM,,363
28/01/16,1:00 AM,366
28/01/16,2:00 AM,341
28/01/16,3:00 AM,325
28/01/16,4:00 AM,321
28/01/16,5:00 AM,323
28/01/16,6:00 AM,337
28/01/16,7:00 AM,348
28/01/16,8:00 AM,395
28/01/16,9:00 AM,454
28/01/16,10:00 AM,508
28/01/16,11:00 AM,401
28/01/16,12:00 PM,195
28/01/16,1:00 PM,174
28/01/16,2:00 PM,137
28/01/16,3:00 PM,180
28/01/16,4:00 PM,118
28/01/16,5:00 PM,122
28/01/16,6:00 PM,133
28/01/16,7:00 PM,135
28/01/16,8:00 PM,198
28/01/16,9:00 PM,231
28/01/16,10:00 PM,295
28/01/16,11:00 PM,349
28/01/2016 24:00 AM,,515
29/01/16,1:00 AM,373
29/01/16,2:00 AM,353
29/01/16,3:00 AM,382
29/01/16,4:00 AM,376
29/01/16,5:00 AM,382
29/01/16,6:00 AM,375
29/01/16,7:00 AM,382
29/01/16,8:00 AM,454
29/01/16,9:00 AM,496
29/01/16,10:00 AM,416
29/01/16,11:00 AM,340
29/01/16,12:00 PM,InVld
29/01/16,1:00 PM,153
29/01/16,2:00 PM,137
29/01/16,3:00 PM,286
29/01/16,4:00 PM,267
29/01/16,5:00 PM,242
29/01/16,6:00 PM,257
29/01/16,7:00 PM,272
29/01/16,8:00 PM,265
29/01/16,9:00 PM,466
29/01/16,10:00 PM,428
29/01/16,11:00 PM,382
29/01/2016 24:00 AM,,403
30/01/16,1:00 AM,391
30/01/16,2:00 AM,387
30/01/16,3:00 AM,398
30/01/16,4:00 AM,368
30/01/16,5:00 AM,358
30/01/16,6:00 AM,329
30/01/16,7:00 AM,305
30/01/16,8:00 AM,253
30/01/16,9:00 AM,306
30/01/16,10:00 AM,429
30/01/16,11:00 AM,348
30/01/16,12:00 PM,308
30/01/16,1:00 PM,152
30/01/16,2:00 PM,178
30/01/16,3:00 PM,200
30/01/16,4:00 PM,213
30/01/16,5:00 PM,221
30/01/16,6:00 PM,296
30/01/16,7:00 PM,405
30/01/16,8:00 PM,552
30/01/16,9:00 PM,470
30/01/16,10:00 PM,530
30/01/16,11:00 PM,493
30/01/2016 24:00 AM,,528
31/01/16,1:00 AM,496
31/01/16,2:00 AM,466
31/01/16,3:00 AM,419
31/01/16,4:00 AM,387
31/01/16,5:00 AM,349
31/01/16,6:00 AM,334
31/01/16,7:00 AM,345
31/01/16,8:00 AM,327
31/01/16,9:00 AM,286
31/01/16,10:00 AM,310
31/01/16,11:00 AM,251
31/01/16,12:00 PM,209
31/01/16,1:00 PM,174
31/01/16,2:00 PM,128
31/01/16,3:00 PM,90
31/01/16,4:00 PM,76
31/01/16,5:00 PM,117
31/01/16,6:00 PM,119
31/01/16,7:00 PM,122
31/01/16,8:00 PM,155
31/01/16,9:00 PM,143
31/01/16,10:00 PM,119
31/01/16,11:00 PM,111
31/01/2016 24:00 AM,,99
01/02/16,1:00 AM,93
01/02/16,2:00 AM,98
01/02/16,3:00 AM,97
01/02/16,4:00 AM,107
01/02/16,5:00 AM,121
01/02/16,6:00 AM,161
01/02/16,7:00 AM,205
01/02/16,8:00 AM,208
01/02/16,9:00 AM,235
01/02/16,10:00 AM,217
01/02/16,11:00 AM,180
01/02/16,12:00 PM,101
01/02/16,1:00 PM,85
01/02/16,2:00 PM,54
01/02/16,3:00 PM,52
01/02/16,4:00 PM,56
01/02/16,5:00 PM,42
01/02/16,6:00 PM,30
01/02/16,7:00 PM,59
01/02/16,8:00 PM,92
01/02/16,9:00 PM,117
01/02/16,10:00 PM,163
01/02/16,11:00 PM,169
1-02-2016 24:00 AM,,155
02/02/16,1:00 AM,144
02/02/16,2:00 AM,115
02/02/16,3:00 AM,107
02/02/16,4:00 AM,108
02/02/16,5:00 AM,161
02/02/16,6:00 AM,272
02/02/16,7:00 AM,354
02/02/16,8:00 AM,279
02/02/16,9:00 AM,240
02/02/16,10:00 AM,136
02/02/16,11:00 AM,82
02/02/16,12:00 PM,63
02/02/16,1:00 PM,71
02/02/16,2:00 PM,35
02/02/16,3:00 PM,53
02/02/16,4:00 PM,41
02/02/16,5:00 PM,42
02/02/16,6:00 PM,46
02/02/16,7:00 PM,68
02/02/16,8:00 PM,96
02/02/16,9:00 PM,133
02/02/16,10:00 PM,136
02/02/16,11:00 PM,152
2-02-2016 24:00 AM,,165
03/02/16,1:00 AM,165
03/02/16,2:00 AM,270
03/02/16,3:00 AM,202
03/02/16,4:00 AM,171
03/02/16,5:00 AM,173
03/02/16,6:00 AM,144
03/02/16,7:00 AM,231
03/02/16,8:00 AM,406
03/02/16,9:00 AM,364
03/02/16,10:00 AM,283
03/02/16,11:00 AM,185
03/02/16,12:00 PM,128
03/02/16,1:00 PM,82
03/02/16,2:00 PM,53
03/02/16,3:00 PM,48
03/02/16,4:00 PM,58
03/02/16,5:00 PM,43
03/02/16,6:00 PM,46
03/02/16,7:00 PM,81
03/02/16,8:00 PM,107
03/02/16,9:00 PM,123
03/02/16,10:00 PM,133
03/02/16,11:00 PM,145
3/02/2016 24:00 AM,,117
04/02/16,1:00 AM,113
04/02/16,2:00 AM,121
04/02/16,3:00 AM,133
04/02/16,4:00 AM,272
04/02/16,5:00 AM,243
04/02/16,6:00 AM,196
04/02/16,7:00 AM,193
04/02/16,8:00 AM,217
04/02/16,9:00 AM,203
04/02/16,10:00 AM,134
04/02/16,11:00 AM,130
04/02/16,12:00 PM,142
04/02/16,1:00 PM,82
04/02/16,2:00 PM,52
04/02/16,3:00 PM,35
04/02/16,4:00 PM,27
04/02/16,5:00 PM,41
04/02/16,6:00 PM,43
04/02/16,7:00 PM,73
04/02/16,8:00 PM,111
04/02/16,9:00 PM,176
04/02/16,10:00 PM,220
04/02/16,11:00 PM,259
4/2/2016 24:00 AM,,256
05/02/16,1:00 AM,241
05/02/16,2:00 AM,282
05/02/16,3:00 AM,312
05/02/16,4:00 AM,276
05/02/16,5:00 AM,238
05/02/16,6:00 AM,295
05/02/16,7:00 AM,290
05/02/16,8:00 AM,310
05/02/16,9:00 AM,427
05/02/16,10:00 AM,343
05/02/16,11:00 AM,301
05/02/16,12:00 PM,177
05/02/16,1:00 PM,103
05/02/16,2:00 PM,124
05/02/16,3:00 PM,101
05/02/16,4:00 PM,105
05/02/16,5:00 PM,87
05/02/16,6:00 PM,87
05/02/16,7:00 PM,108
05/02/16,8:00 PM,136
05/02/16,9:00 PM,180
05/02/16,10:00 PM,240
05/02/16,11:00 PM,288
05/02/16,,317
06/02/16,1:00 AM,357
06/02/16,2:00 AM,356
06/02/16,3:00 AM,341
06/02/16,4:00 AM,351
06/02/16,5:00 AM,414
06/02/16,6:00 AM,458
06/02/16,7:00 AM,487
06/02/16,8:00 AM,469
06/02/16,9:00 AM,449
06/02/16,10:00 AM,458
06/02/16,11:00 AM,177
06/02/16,12:00 PM,141
06/02/16,1:00 PM,131
06/02/16,2:00 PM,103
06/02/16,3:00 PM,103
06/02/16,4:00 PM,106
06/02/16,5:00 PM,110
06/02/16,6:00 PM,132
06/02/16,7:00 PM,134
06/02/16,8:00 PM,158
06/02/16,9:00 PM,174
06/02/16,10:00 PM,233
06/02/16,11:00 PM,230
06/02/16,,223
07/02/16,1:00 AM,225
07/02/16,2:00 AM,218
07/02/16,3:00 AM,216
07/02/16,4:00 AM,224
07/02/16,5:00 AM,239
07/02/16,6:00 AM,217
07/02/16,7:00 AM,253
07/02/16,8:00 AM,279
07/02/16,9:00 AM,225
07/02/16,10:00 AM,259
07/02/16,11:00 AM,266
07/02/16,12:00 PM,225
07/02/16,1:00 PM,200
07/02/16,2:00 PM,190
07/02/16,3:00 PM,152
07/02/16,4:00 PM,113
07/02/16,5:00 PM,93
07/02/16,6:00 PM,89
07/02/16,7:00 PM,90
07/02/16,8:00 PM,113
07/02/16,9:00 PM,124
07/02/16,10:00 PM,127
07/02/16,11:00 PM,110
07/02/16,,114
08/02/16,1:00 AM,110
08/02/16,2:00 AM,103
08/02/16,3:00 AM,97
08/02/16,4:00 AM,126
08/02/16,5:00 AM,161
08/02/16,6:00 AM,265
08/02/16,7:00 AM,278
08/02/16,8:00 AM,232
08/02/16,9:00 AM,199
08/02/16,10:00 AM,216
08/02/16,11:00 AM,92
08/02/16,12:00 PM,66
08/02/16,1:00 PM,50
08/02/16,2:00 PM,61
08/02/16,3:00 PM,70
08/02/16,4:00 PM,54
08/02/16,5:00 PM,54
08/02/16,6:00 PM,55
08/02/16,7:00 PM,68
08/02/16,8:00 PM,96
08/02/16,9:00 PM,132
08/02/16,10:00 PM,186
